Salary,Salary_list,Per,Lower,Upper
$43.55 - $50.46 an hour,"['$43.55', '-', '$50.46', 'an', 'hour']",hour,4355,"['5', '0', '.', '4', '6']"
"$45,000 a year","['$45,000', 'a', 'year']",year,45000,
"$55,000 - $70,000 a year","['$55,000', '-', '$70,000', 'a', 'year']",year,55000,"['7', '0', ',', '0', '0', '0']"
"$60,000 - $120,000 a year","['$60,000', '-', '$120,000', 'a', 'year']",year,60000,"['1', '2', '0', ',', '0', '0', '0']"
$45 - $50 an hour,"['$45', '-', '$50', 'an', 'hour']",hour,45,"['5', '0']"
"$120,000 - $150,000 a year","['$120,000', '-', '$150,000', 'a', 'year']",year,120000,"['1', '5', '0', ',', '0', '0', '0']"
"$75,000 - $120,000 a year","['$75,000', '-', '$120,000', 'a', 'year']",year,75000,"['1', '2', '0', ',', '0', '0', '0']"
"$60,000 - $110,000 a year","['$60,000', '-', '$110,000', 'a', 'year']",year,60000,"['1', '1', '0', ',', '0', '0', '0']"
"$133,900 - $223,500 a year","['$133,900', '-', '$223,500', 'a', 'year']",year,133900,"['2', '2', '3', ',', '5', '0', '0']"
"$4,500 a month","['$4,500', 'a', 'month']",month,4500,
$43.96 an hour,"['$43.96', 'an', 'hour']",hour,4396,
"$84,598 - $120,852 a year","['$84,598', '-', '$120,852', 'a', 'year']",year,84598,"['1', '2', '0', ',', '8', '5', '2']"
"$66,904 - $77,783 a year","['$66,904', '-', '$77,783', 'a', 'year']",year,66904,"['7', '7', ',', '7', '8', '3']"
"$89,400 - $108,820 a year","['$89,400', '-', '$108,820', 'a', 'year']",year,89400,"['1', '0', '8', ',', '8', '2', '0']"
$15 - $18 an hour,"['$15', '-', '$18', 'an', 'hour']",hour,15,"['1', '8']"
"$50,000 - $100,000 a year","['$50,000', '-', '$100,000', 'a', 'year']",year,50000,"['1', '0', '0', ',', '0', '0', '0']"
"$150,000 - $190,000 a year","['$150,000', '-', '$190,000', 'a', 'year']",year,150000,"['1', '9', '0', ',', '0', '0', '0']"
"$150,000 - $190,000 a year","['$150,000', '-', '$190,000', 'a', 'year']",year,150000,"['1', '9', '0', ',', '0', '0', '0']"
"$70,000 - $95,000 a year","['$70,000', '-', '$95,000', 'a', 'year']",year,70000,"['9', '5', ',', '0', '0', '0']"
"$180,000 - $210,000 a year","['$180,000', '-', '$210,000', 'a', 'year']",year,180000,"['2', '1', '0', ',', '0', '0', '0']"
"$60,000 - $75,000 a year","['$60,000', '-', '$75,000', 'a', 'year']",year,60000,"['7', '5', ',', '0', '0', '0']"
"$73,243 - $95,000 a year","['$73,243', '-', '$95,000', 'a', 'year']",year,73243,"['9', '5', ',', '0', '0', '0']"
"$60,000 - $100,000 a year","['$60,000', '-', '$100,000', 'a', 'year']",year,60000,"['1', '0', '0', ',', '0', '0', '0']"
"$70,000 - $85,000 a year","['$70,000', '-', '$85,000', 'a', 'year']",year,70000,"['8', '5', ',', '0', '0', '0']"
"$60,000 - $80,000 a year","['$60,000', '-', '$80,000', 'a', 'year']",year,60000,"['8', '0', ',', '0', '0', '0']"
"$84,468 - $111,003 a year","['$84,468', '-', '$111,003', 'a', 'year']",year,84468,"['1', '1', '1', ',', '0', '0', '3']"
"$65,000 - $85,000 a year","['$65,000', '-', '$85,000', 'a', 'year']",year,65000,"['8', '5', ',', '0', '0', '0']"
"$84,468 - $97,358 a year","['$84,468', '-', '$97,358', 'a', 'year']",year,84468,"['9', '7', ',', '3', '5', '8']"
"$60,000 - $100,000 a year","['$60,000', '-', '$100,000', 'a', 'year']",year,60000,"['1', '0', '0', ',', '0', '0', '0']"
"$75,000 - $150,000 a year","['$75,000', '-', '$150,000', 'a', 'year']",year,75000,"['1', '5', '0', ',', '0', '0', '0']"
"$100,000 - $160,000 a year","['$100,000', '-', '$160,000', 'a', 'year']",year,100000,"['1', '6', '0', ',', '0', '0', '0']"
$15 an hour,"['$15', 'an', 'hour']",hour,15,
"$53,956 - $66,388 a year","['$53,956', '-', '$66,388', 'a', 'year']",year,53956,"['6', '6', ',', '3', '8', '8']"
"$100,000 - $150,000 a year","['$100,000', '-', '$150,000', 'a', 'year']",year,100000,"['1', '5', '0', ',', '0', '0', '0']"
"$87,612 - $113,900 a year","['$87,612', '-', '$113,900', 'a', 'year']",year,87612,"['1', '1', '3', ',', '9', '0', '0']"
"$97,896 - $175,000 a year","['$97,896', '-', '$175,000', 'a', 'year']",year,97896,"['1', '7', '5', ',', '0', '0', '0']"
"$70,000 - $95,000 a year","['$70,000', '-', '$95,000', 'a', 'year']",year,70000,"['9', '5', ',', '0', '0', '0']"
"$60,000 - $120,000 a year","['$60,000', '-', '$120,000', 'a', 'year']",year,60000,"['1', '2', '0', ',', '0', '0', '0']"
"$90,000 - $125,000 a year","['$90,000', '-', '$125,000', 'a', 'year']",year,90000,"['1', '2', '5', ',', '0', '0', '0']"
"$135,000 - $165,000 a year","['$135,000', '-', '$165,000', 'a', 'year']",year,135000,"['1', '6', '5', ',', '0', '0', '0']"
$10 an hour,"['$10', 'an', 'hour']",hour,10,
"$4,917 - $8,060 a month","['$4,917', '-', '$8,060', 'a', 'month']",month,4917,"['8', ',', '0', '6', '0']"
"$53,917 - $120,874 a year","['$53,917', '-', '$120,874', 'a', 'year']",year,53917,"['1', '2', '0', ',', '8', '7', '4']"
"$88,000 - $118,000 a year","['$88,000', '-', '$118,000', 'a', 'year']",year,88000,"['1', '1', '8', ',', '0', '0', '0']"
"$100,000 - $125,000 a year","['$100,000', '-', '$125,000', 'a', 'year']",year,100000,"['1', '2', '5', ',', '0', '0', '0']"
"$5,500 - $7,000 a month","['$5,500', '-', '$7,000', 'a', 'month']",month,5500,"['7', ',', '0', '0', '0']"
"$250,000 - $450,000 a year","['$250,000', '-', '$450,000', 'a', 'year']",year,250000,"['4', '5', '0', ',', '0', '0', '0']"
"$250,000 - $400,000 a year","['$250,000', '-', '$400,000', 'a', 'year']",year,250000,"['4', '0', '0', ',', '0', '0', '0']"
"$101,000 - $130,000 a year","['$101,000', '-', '$130,000', 'a', 'year']",year,101000,"['1', '3', '0', ',', '0', '0', '0']"
"$48,670 - $112,240 a year","['$48,670', '-', '$112,240', 'a', 'year']",year,48670,"['1', '1', '2', ',', '2', '4', '0']"
"$48,670 - $112,240 a year","['$48,670', '-', '$112,240', 'a', 'year']",year,48670,"['1', '1', '2', ',', '2', '4', '0']"
"$70,000 - $180,000 a year","['$70,000', '-', '$180,000', 'a', 'year']",year,70000,"['1', '8', '0', ',', '0', '0', '0']"
$23 an hour,"['$23', 'an', 'hour']",hour,23,
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
"$75,000 a year","['$75,000', 'a', 'year']",year,75000,
"$142,701 - $170,800 a year","['$142,701', '-', '$170,800', 'a', 'year']",year,142701,"['1', '7', '0', ',', '8', '0', '0']"
"$100,000 - $145,000 a year","['$100,000', '-', '$145,000', 'a', 'year']",year,100000,"['1', '4', '5', ',', '0', '0', '0']"
"$140,000 - $185,000 a year","['$140,000', '-', '$185,000', 'a', 'year']",year,140000,"['1', '8', '5', ',', '0', '0', '0']"
$46 - $56 an hour,"['$46', '-', '$56', 'an', 'hour']",hour,46,"['5', '6']"
"$158,080 a year","['$158,080', 'a', 'year']",year,158080,
"$142,701 - $170,800 a year","['$142,701', '-', '$170,800', 'a', 'year']",year,142701,"['1', '7', '0', ',', '8', '0', '0']"
"$55,000 - $65,000 a year","['$55,000', '-', '$65,000', 'a', 'year']",year,55000,"['6', '5', ',', '0', '0', '0']"
"$72,030 - $112,240 a year","['$72,030', '-', '$112,240', 'a', 'year']",year,72030,"['1', '1', '2', ',', '2', '4', '0']"
"$104,000 - $156,000 a year","['$104,000', '-', '$156,000', 'a', 'year']",year,104000,"['1', '5', '6', ',', '0', '0', '0']"
"$48,670 - $77,396 a year","['$48,670', '-', '$77,396', 'a', 'year']",year,48670,"['7', '7', ',', '3', '9', '6']"
"$72,030 - $93,638 a year","['$72,030', '-', '$93,638', 'a', 'year']",year,72030,"['9', '3', ',', '6', '3', '8']"
"$102,663 - $133,465 a year","['$102,663', '-', '$133,465', 'a', 'year']",year,102663,"['1', '3', '3', ',', '4', '6', '5']"
"$48,670 - $77,396 a year","['$48,670', '-', '$77,396', 'a', 'year']",year,48670,"['7', '7', ',', '3', '9', '6']"
"$72,030 - $133,465 a year","['$72,030', '-', '$133,465', 'a', 'year']",year,72030,"['1', '3', '3', ',', '4', '6', '5']"
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
$20 - $25 an hour,"['$20', '-', '$25', 'an', 'hour']",hour,20,"['2', '5']"
"$147,458 - $189,056 a year","['$147,458', '-', '$189,056', 'a', 'year']",year,147458,"['1', '8', '9', ',', '0', '5', '6']"
"$80,000 - $115,000 a year","['$80,000', '-', '$115,000', 'a', 'year']",year,80000,"['1', '1', '5', ',', '0', '0', '0']"
"$60,000 a year","['$60,000', 'a', 'year']",year,60000,
"$40,000 - $60,000 a year","['$40,000', '-', '$60,000', 'a', 'year']",year,40000,"['6', '0', ',', '0', '0', '0']"
"$125,000 a year","['$125,000', 'a', 'year']",year,125000,
"$80,000 - $140,000 a year","['$80,000', '-', '$140,000', 'a', 'year']",year,80000,"['1', '4', '0', ',', '0', '0', '0']"
"$90,000 - $120,000 a year","['$90,000', '-', '$120,000', 'a', 'year']",year,90000,"['1', '2', '0', ',', '0', '0', '0']"
"$80,000 - $120,000 a year","['$80,000', '-', '$120,000', 'a', 'year']",year,80000,"['1', '2', '0', ',', '0', '0', '0']"
"$125,000 - $145,000 a year","['$125,000', '-', '$145,000', 'a', 'year']",year,125000,"['1', '4', '5', ',', '0', '0', '0']"
"$1,200 - $4,200 a month","['$1,200', '-', '$4,200', 'a', 'month']",month,1200,"['4', ',', '2', '0', '0']"
"$125,000 - $155,000 a year","['$125,000', '-', '$155,000', 'a', 'year']",year,125000,"['1', '5', '5', ',', '0', '0', '0']"
"$141,000 - $190,000 a year","['$141,000', '-', '$190,000', 'a', 'year']",year,141000,"['1', '9', '0', ',', '0', '0', '0']"
"$53,000 - $75,000 a year","['$53,000', '-', '$75,000', 'a', 'year']",year,53000,"['7', '5', ',', '0', '0', '0']"
"$190,000 - $210,000 a year","['$190,000', '-', '$210,000', 'a', 'year']",year,190000,"['2', '1', '0', ',', '0', '0', '0']"
"$147,458 - $189,056 a year","['$147,458', '-', '$189,056', 'a', 'year']",year,147458,"['1', '8', '9', ',', '0', '5', '6']"
"$160,000 - $200,000 a year","['$160,000', '-', '$200,000', 'a', 'year']",year,160000,"['2', '0', '0', ',', '0', '0', '0']"
"$1,000 a month","['$1,000', 'a', 'month']",month,1000,
"Up to $150,000 a year","['Up', 'to', '$150,000', 'a', 'year']",year,Up,
"$73,973 - $112,240 a year","['$73,973', '-', '$112,240', 'a', 'year']",year,73973,"['1', '1', '2', ',', '2', '4', '0']"
"$51,102 - $81,263 a year","['$51,102', '-', '$81,263', 'a', 'year']",year,51102,"['8', '1', ',', '2', '6', '3']"
"$102,663 - $157,709 a year","['$102,663', '-', '$157,709', 'a', 'year']",year,102663,"['1', '5', '7', ',', '7', '0', '9']"
"$75,000 - $135,000 a year","['$75,000', '-', '$135,000', 'a', 'year']",year,75000,"['1', '3', '5', ',', '0', '0', '0']"
$21.22 an hour,"['$21.22', 'an', 'hour']",hour,2122,
"$60,000 - $65,000 a year","['$60,000', '-', '$65,000', 'a', 'year']",year,60000,"['6', '5', ',', '0', '0', '0']"
"$72,351 - $90,157 a year","['$72,351', '-', '$90,157', 'a', 'year']",year,72351,"['9', '0', ',', '1', '5', '7']"
"$72,351 - $90,157 a year","['$72,351', '-', '$90,157', 'a', 'year']",year,72351,"['9', '0', ',', '1', '5', '7']"
"$44,279 - $52,184 a year","['$44,279', '-', '$52,184', 'a', 'year']",year,44279,"['5', '2', ',', '1', '8', '4']"
$15 an hour,"['$15', 'an', 'hour']",hour,15,
"$150,000 - $200,000 a year","['$150,000', '-', '$200,000', 'a', 'year']",year,150000,"['2', '0', '0', ',', '0', '0', '0']"
"$67,968 - $126,062 a year","['$67,968', '-', '$126,062', 'a', 'year']",year,67968,"['1', '2', '6', ',', '0', '6', '2']"
$27.17 - $36.60 an hour,"['$27.17', '-', '$36.60', 'an', 'hour']",hour,2717,"['3', '6', '.', '6', '0']"
$21.93 - $26.43 an hour,"['$21.93', '-', '$26.43', 'an', 'hour']",hour,2193,"['2', '6', '.', '4', '3']"
$21.21 - $22.43 an hour,"['$21.21', '-', '$22.43', 'an', 'hour']",hour,2121,"['2', '2', '.', '4', '3']"
$70 - $80 an hour,"['$70', '-', '$80', 'an', 'hour']",hour,70,"['8', '0']"
$59 - $60 an hour,"['$59', '-', '$60', 'an', 'hour']",hour,59,"['6', '0']"
"$120,000 - $140,000 a year","['$120,000', '-', '$140,000', 'a', 'year']",year,120000,"['1', '4', '0', ',', '0', '0', '0']"
$90 - $115 an hour,"['$90', '-', '$115', 'an', 'hour']",hour,90,"['1', '1', '5']"
"$60,000 - $75,000 a year","['$60,000', '-', '$75,000', 'a', 'year']",year,60000,"['7', '5', ',', '0', '0', '0']"
$25 - $45 an hour,"['$25', '-', '$45', 'an', 'hour']",hour,25,"['4', '5']"
"$70,000 - $95,000 a year","['$70,000', '-', '$95,000', 'a', 'year']",year,70000,"['9', '5', ',', '0', '0', '0']"
"$60,000 - $75,000 a year","['$60,000', '-', '$75,000', 'a', 'year']",year,60000,"['7', '5', ',', '0', '0', '0']"
$48 - $50 an hour,"['$48', '-', '$50', 'an', 'hour']",hour,48,"['5', '0']"
$45.60 an hour,"['$45.60', 'an', 'hour']",hour,4560,
"$60,000 - $65,000 a year","['$60,000', '-', '$65,000', 'a', 'year']",year,60000,"['6', '5', ',', '0', '0', '0']"
$16 an hour,"['$16', 'an', 'hour']",hour,16,
$45 - $65 an hour,"['$45', '-', '$65', 'an', 'hour']",hour,45,"['6', '5']"
$20 an hour,"['$20', 'an', 'hour']",hour,20,
"$125,000 - $240,000 a year","['$125,000', '-', '$240,000', 'a', 'year']",year,125000,"['2', '4', '0', ',', '0', '0', '0']"
"$200,000 - $350,000 a year","['$200,000', '-', '$350,000', 'a', 'year']",year,200000,"['3', '5', '0', ',', '0', '0', '0']"
"$23,000 a year","['$23,000', 'a', 'year']",year,23000,
$55 - $70 an hour,"['$55', '-', '$70', 'an', 'hour']",hour,55,"['7', '0']"
"$153,300 - $201,600 a year","['$153,300', '-', '$201,600', 'a', 'year']",year,153300,"['2', '0', '1', ',', '6', '0', '0']"
"$119,000 - $155,000 a year","['$119,000', '-', '$155,000', 'a', 'year']",year,119000,"['1', '5', '5', ',', '0', '0', '0']"
"$118,248 - $151,694 a year","['$118,248', '-', '$151,694', 'a', 'year']",year,118248,"['1', '5', '1', ',', '6', '9', '4']"
$60 - $75 an hour,"['$60', '-', '$75', 'an', 'hour']",hour,60,"['7', '5']"
"$119,000 - $155,000 a year","['$119,000', '-', '$155,000', 'a', 'year']",year,119000,"['1', '5', '5', ',', '0', '0', '0']"
$40 - $70 an hour,"['$40', '-', '$70', 'an', 'hour']",hour,40,"['7', '0']"
"$100,000 - $120,000 a year","['$100,000', '-', '$120,000', 'a', 'year']",year,100000,"['1', '2', '0', ',', '0', '0', '0']"
"$166,200 - $218,700 a year","['$166,200', '-', '$218,700', 'a', 'year']",year,166200,"['2', '1', '8', ',', '7', '0', '0']"
"$52,495 - $72,210 a year","['$52,495', '-', '$72,210', 'a', 'year']",year,52495,"['7', '2', ',', '2', '1', '0']"
"$126,200 - $176,700 a year","['$126,200', '-', '$176,700', 'a', 'year']",year,126200,"['1', '7', '6', ',', '7', '0', '0']"
"$100,000 - $130,000 a year","['$100,000', '-', '$130,000', 'a', 'year']",year,100000,"['1', '3', '0', ',', '0', '0', '0']"
